"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"274       ","EMERALD                                           ","ME         ","0         ","1         ","2         ","1         ","2         ","2         ","0         ","2         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","110.00    ","110.00         ","S24   ","S24        "
"276       ","EVERGLADE                                         ","BG         ","0         ","1         ","1         ","1         ","1         ","3         ","0         ","1         ","1         ","0         ","1         ","2         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","215.00    ","215.00         ","S24   ","S24        "
"276       ","MIDNIGHT                                          ","BG         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","215.00    ","215.00         ","S24   ","S24        "
"277       ","PINE                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","2         ","0         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.50    ","119.50         ","S24   ","S24        "
"277       ","NEON PINK                                         ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.50    ","119.50         ","S24   ","S24        "
"278       ","PINK                                              ","BG         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","234.99    ","234.99         ","S25   ","S25        "
"278       ","BLUE IRIS                                         ","BG         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","234.99    ","234.99         ","S25   ","S25        "
"279       ","BLACK MULTI                                       ","ST         ","0         ","1         ","0         ","2         ","2         ","1         ","0         ","1         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","189.98    ","189.98         ","S25   ","S25        "
"279       ","BLACK-PURPLE                                      ","ST         ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","189.98    ","189.98         ","S25   ","S25        "
"283       ","BLACK MULTI                                       ","BG         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","234.99    ","234.99         ","S25   ","S25        "
"284       ","EVERGLADE                                         ","BG         ","0         ","1         ","0         ","0         ","0         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","229.98    ","229.98         ","S25   ","S25        "
