Product,Color,Size,Attr 2 Name,Qty Avail Now,Qty WIP,Due WIP
47229,NEP,D0,NEON PINK,0.00,4.00,02/16/2026
47229,PEJ,10,PEACOCK/JADE,0.00,4.00,02/16/2026
47229,PEJ,8,PEACOCK/JADE,0.00,4.00,02/16/2026
47229,PEJ,D0,PEACOCK/JADE,0.00,3.00,02/16/2026
47229,NEP,12,NEON PINK,0.00,2.00,02/16/2026
47229,NEP,8,NEON PINK,0.00,2.00,02/16/2026
47229,NEP,16,NEON PINK,0.00,1.00,02/16/2026
47229,NEP,14,NEON PINK,0.00,1.00,02/16/2026
47229,PEJ,14,PEACOCK/JADE,0.00,1.00,02/16/2026
47229,PEJ,16,PEACOCK/JADE,0.00,1.00,02/16/2026
47230,ORP,6,ORANGE/PINK,0.00,9.00,02/16/2026
47230,ORP,2,ORANGE/PINK,0.00,7.00,02/16/2026
47230,TEAL/EMERALD,4,,0.00,6.00,02/16/2026
47230,ORP,0,ORANGE/PINK,0.00,5.00,02/16/2026
47230,ORP,4,ORANGE/PINK,0.00,5.00,02/16/2026
47230,ORP,D0,ORANGE/PINK,0.00,5.00,02/16/2026
47230,TEAL/EMERALD,2,,0.00,5.00,02/16/2026
47230,ORP,8,ORANGE/PINK,0.00,4.00,02/16/2026
47230,ORP,12,ORANGE/PINK,0.00,3.00,02/16/2026
47230,RLB,0,ROYAL/LIGHT BLUE,0.00,3.00,02/16/2026
47230,RLB,12,ROYAL/LIGHT BLUE,0.00,3.00,02/16/2026
47230,RLB,6,ROYAL/LIGHT BLUE,0.00,3.00,02/16/2026
47230,RLB,D0,ROYAL/LIGHT BLUE,0.00,3.00,02/16/2026
47230,TEAL/EMERALD,10,,0.00,3.00,02/16/2026
47230,TEAL/EMERALD,0,,1.00,3.00,02/16/2026
47230,NUM,4,NUDE/MULTI,3.00,3.00,02/16/2026
47230,ORP,10,ORANGE/PINK,0.00,2.00,02/16/2026
47230,RLB,8,ROYAL/LIGHT BLUE,0.00,2.00,02/16/2026
47230,TEAL/EMERALD,12,,0.00,2.00,02/16/2026
47230,TEAL/EMERALD,8,,0.00,2.00,02/16/2026
47230,NUM,2,NUDE/MULTI,2.00,2.00,02/16/2026
47230,NUM,0,NUDE/MULTI,3.00,2.00,02/16/2026
47230,NUM,6,NUDE/MULTI,4.00,2.00,02/16/2026
47230,NUM,14,NUDE/MULTI,0.00,1.00,02/16/2026
47230,ORP,14,ORANGE/PINK,0.00,1.00,02/16/2026
47230,RLB,4,ROYAL/LIGHT BLUE,0.00,1.00,02/16/2026
47230,NUM,8,NUDE/MULTI,1.00,1.00,02/16/2026
47230,TEAL/EMERALD,6,,1.00,1.00,02/16/2026
47230,TEAL/EMERALD,D0,,1.00,1.00,02/16/2026
47230,NUM,D0,NUDE/MULTI,5.00,1.00,02/16/2026
47230,ORP,16,ORANGE/PINK,0.00,0.00,
47230,RLB,10,ROYAL/LIGHT BLUE,0.00,0.00,
47230,RLB,14,ROYAL/LIGHT BLUE,0.00,0.00,
47230,RLB,16,ROYAL/LIGHT BLUE,0.00,0.00,
47230,RLB,2,ROYAL/LIGHT BLUE,0.00,0.00,
47230,TEAL/EMERALD,14,,0.00,0.00,
47230,TEAL/EMERALD,16,,0.00,0.00,
47230,LBP,0,LIGHT BLUE/PINK,0.00,0.00,
47230,LBP,12,LIGHT BLUE/PINK,0.00,0.00,
47230,LBP,14,LIGHT BLUE/PINK,0.00,0.00,
47230,LBP,16,LIGHT BLUE/PINK,0.00,0.00,
47230,LBP,8,LIGHT BLUE/PINK,0.00,0.00,
47230,NRG,12,NAVY/ROSE GOLD,0.00,0.00,
47230,NRG,14,NAVY/ROSE GOLD,0.00,0.00,
47230,NRG,16,NAVY/ROSE GOLD,0.00,0.00,
47230,NRG,6,NAVY/ROSE GOLD,0.00,0.00,
47230,LBP,4,LIGHT BLUE/PINK,1.00,0.00,
47230,NRG,0,NAVY/ROSE GOLD,1.00,0.00,
47230,NRG,10,NAVY/ROSE GOLD,1.00,0.00,
47230,NRG,2,NAVY/ROSE GOLD,1.00,0.00,
47230,NUM,10,NUDE/MULTI,2.00,0.00,
47230,NUM,12,NUDE/MULTI,2.00,0.00,
47230,NUM,16,NUDE/MULTI,2.00,0.00,
47230,LBP,10,LIGHT BLUE/PINK,2.00,0.00,
47230,LBP,6,LIGHT BLUE/PINK,2.00,0.00,
47230,LBP,D0,LIGHT BLUE/PINK,2.00,0.00,
47230,NUM,18,NUDE/MULTI,2.00,0.00,
47230,NRG,4,NAVY/ROSE GOLD,2.00,0.00,
47230,LBP,2,LIGHT BLUE/PINK,3.00,0.00,
47230,NRG,8,NAVY/ROSE GOLD,3.00,0.00,
47230,NRG,D0,NAVY/ROSE GOLD,3.00,0.00,
47231,BLG,10,BLACK/GOLD,0.00,0.00,
47231,BLG,12,BLACK/GOLD,0.00,0.00,
47231,BLG,14,BLACK/GOLD,0.00,0.00,
47231,BLG,16,BLACK/GOLD,0.00,0.00,
47231,BLG,8,BLACK/GOLD,0.00,0.00,
47231,BLG,D0,BLACK/GOLD,1.00,0.00,
47231,BLG,0,BLACK/GOLD,2.00,0.00,
47231,BLG,2,BLACK/GOLD,2.00,0.00,
47231,BLG,4,BLACK/GOLD,2.00,0.00,
47231,BLG,6,BLACK/GOLD,2.00,0.00,
47233,BKM,0,BLACK/MULTI,0.00,0.00,
47233,BKM,10,BLACK/MULTI,0.00,0.00,
47233,BKM,12,BLACK/MULTI,0.00,0.00,
47233,BKM,14,BLACK/MULTI,0.00,0.00,
47233,BKM,16,BLACK/MULTI,0.00,0.00,
47233,BKM,2,BLACK/MULTI,0.00,0.00,
47233,BKM,4,BLACK/MULTI,0.00,0.00,
47233,BKM,6,BLACK/MULTI,0.00,0.00,
47233,BKM,8,BLACK/MULTI,0.00,0.00,
47233,BKM,D0,BLACK/MULTI,0.00,0.00,
47233,NUM,0,NUDE/MULTI,0.00,0.00,
47233,NUM,10,NUDE/MULTI,0.00,0.00,
47233,NUM,12,NUDE/MULTI,0.00,0.00,
47233,NUM,14,NUDE/MULTI,0.00,0.00,
47233,NUM,16,NUDE/MULTI,0.00,0.00,
47233,NUM,2,NUDE/MULTI,0.00,0.00,
47233,NUM,4,NUDE/MULTI,0.00,0.00,
47233,NUM,6,NUDE/MULTI,0.00,0.00,
47233,NUM,8,NUDE/MULTI,0.00,0.00,
47233,NUM,D0,NUDE/MULTI,0.00,0.00,
47235,BRE,16,BLACK/RED,0.00,0.00,
47235,BRE,D0,BLACK/RED,0.00,0.00,
47235,BRE,0,BLACK/RED,0.00,0.00,
47235,BRE,10,BLACK/RED,0.00,0.00,
47235,BRE,12,BLACK/RED,0.00,0.00,
47235,BRE,14,BLACK/RED,0.00,0.00,
47235,BRE,2,BLACK/RED,0.00,0.00,
47235,BRE,4,BLACK/RED,0.00,0.00,
47235,BRE,6,BLACK/RED,0.00,0.00,
47235,BRE,8,BLACK/RED,0.00,0.00,
47236,GLM,0,GOLD MULTI,0.00,0.00,
47236,GLM,10,GOLD MULTI,0.00,0.00,
47236,GLM,12,GOLD MULTI,0.00,0.00,
47236,GLM,14,GOLD MULTI,0.00,0.00,
47236,GLM,16,GOLD MULTI,0.00,0.00,
47236,GLM,2,GOLD MULTI,0.00,0.00,
47236,GLM,4,GOLD MULTI,0.00,0.00,
47236,GLM,6,GOLD MULTI,0.00,0.00,
47236,GLM,8,GOLD MULTI,0.00,0.00,
47236,GLM,D0,GOLD MULTI,0.00,0.00,
47237,GOL,4,GOLD,0.00,5.00,02/16/2026
47237,GOL,0,GOLD,0.00,4.00,02/16/2026
47237,GOL,2,GOLD,0.00,4.00,02/16/2026
47237,GOL,10,GOLD,0.00,1.00,02/16/2026
47237,GOL,6,GOLD,0.00,1.00,02/16/2026
47237,GOL,D0,GOLD,0.00,1.00,02/16/2026
47237,GOL,12,GOLD,0.00,0.00,
47237,GOL,14,GOLD,0.00,0.00,
47237,GOL,16,GOLD,0.00,0.00,
47237,GOL,8,GOLD,0.00,0.00,
47239,IVO,0,IVORY,0.00,0.00,
47239,IVO,10,IVORY,0.00,0.00,
47239,IVO,12,IVORY,0.00,0.00,
47239,IVO,14,IVORY,0.00,0.00,
47239,IVO,16,IVORY,0.00,0.00,
47239,IVO,2,IVORY,0.00,0.00,
47239,IVO,4,IVORY,0.00,0.00,
47239,IVO,6,IVORY,0.00,0.00,
47239,IVO,8,IVORY,0.00,0.00,
47239,IVO,D0,IVORY,0.00,0.00,
47239,LIB,0,LIGHT BLUE,0.00,0.00,
47239,LIB,10,LIGHT BLUE,0.00,0.00,
47239,LIB,12,LIGHT BLUE,0.00,0.00,
47239,LIB,14,LIGHT BLUE,0.00,0.00,
47239,LIB,16,LIGHT BLUE,0.00,0.00,
47239,LIB,2,LIGHT BLUE,0.00,0.00,
47239,LIB,4,LIGHT BLUE,0.00,0.00,
47239,LIB,6,LIGHT BLUE,0.00,0.00,
47239,LIB,8,LIGHT BLUE,0.00,0.00,
47239,LIB,D0,LIGHT BLUE,0.00,0.00,
47240,NUB,2,NUDE/BLACK,0.00,2.00,02/16/2026
47240,NUB,4,NUDE/BLACK,0.00,2.00,02/16/2026
47240,NUI,2,NUDE/IVORY,0.00,2.00,02/16/2026
47240,NUI,4,NUDE/IVORY,0.00,2.00,02/16/2026
47240,NUI,6,NUDE/IVORY,0.00,2.00,02/16/2026
47240,NUB,0,NUDE/BLACK,0.00,1.00,02/16/2026
47240,NUB,6,NUDE/BLACK,0.00,1.00,02/16/2026
47240,NUB,8,NUDE/BLACK,0.00,1.00,02/16/2026
47240,NUI,0,NUDE/IVORY,0.00,1.00,02/16/2026
47240,NUI,10,NUDE/IVORY,0.00,1.00,02/16/2026
47240,NUI,8,NUDE/IVORY,0.00,1.00,02/16/2026
47240,NUI,D0,NUDE/IVORY,0.00,1.00,02/16/2026
47240,NUB,10,NUDE/BLACK,0.00,0.00,
47240,NUB,12,NUDE/BLACK,0.00,0.00,
47240,NUB,14,NUDE/BLACK,0.00,0.00,
47240,NUB,16,NUDE/BLACK,0.00,0.00,
47240,NUB,D0,NUDE/BLACK,0.00,0.00,
47240,NUI,12,NUDE/IVORY,0.00,0.00,
47240,NUI,14,NUDE/IVORY,0.00,0.00,
47240,NUI,16,NUDE/IVORY,0.00,0.00,
47242,LIB,0,LIGHT BLUE,0.00,2.00,02/16/2026
47242,LIB,2,LIGHT BLUE,0.00,2.00,02/16/2026
47242,LIB,4,LIGHT BLUE,0.00,2.00,02/16/2026
47242,LIB,10,LIGHT BLUE,0.00,1.00,02/16/2026
47242,LIB,6,LIGHT BLUE,0.00,1.00,02/16/2026
47242,LIB,D0,LIGHT BLUE,0.00,1.00,02/16/2026
47242,YEL,0,YELLOW,0.00,1.00,02/16/2026
47242,LIB,12,LIGHT BLUE,0.00,0.00,
47242,LIB,14,LIGHT BLUE,0.00,0.00,
47242,LIB,16,LIGHT BLUE,0.00,0.00,
47242,LIB,8,LIGHT BLUE,0.00,0.00,
47242,YEL,10,YELLOW,0.00,0.00,
47242,YEL,12,YELLOW,0.00,0.00,
47242,YEL,14,YELLOW,0.00,0.00,
47242,YEL,16,YELLOW,0.00,0.00,
47242,YEL,2,YELLOW,0.00,0.00,
47242,YEL,4,YELLOW,0.00,0.00,
47242,YEL,6,YELLOW,0.00,0.00,
47242,YEL,8,YELLOW,0.00,0.00,
47242,YEL,D0,YELLOW,0.00,0.00,
47243,NLP,0,NUDE/LIGHT PINK,0.00,1.00,02/16/2026
47243,NLP,2,NUDE/LIGHT PINK,0.00,1.00,02/16/2026
47243,NLP,4,NUDE/LIGHT PINK,0.00,1.00,02/16/2026
47243,NLP,10,NUDE/LIGHT PINK,0.00,0.00,
47243,NLP,12,NUDE/LIGHT PINK,0.00,0.00,
47243,NLP,14,NUDE/LIGHT PINK,0.00,0.00,
47243,NLP,16,NUDE/LIGHT PINK,0.00,0.00,
47243,NLP,6,NUDE/LIGHT PINK,0.00,0.00,
47243,NLP,8,NUDE/LIGHT PINK,0.00,0.00,
47243,NLP,D0,NUDE/LIGHT PINK,0.00,0.00,
47244,BKN,6,BLACK/NUDE,0.00,1.00,02/16/2026
47244,IVO,12,IVORY,0.00,0.00,
47244,IVO,14,IVORY,0.00,0.00,
47244,IVO,16,IVORY,0.00,0.00,
47244,LIB,10,LIGHT BLUE,0.00,0.00,
47244,LIB,12,LIGHT BLUE,0.00,0.00,
47244,LIB,14,LIGHT BLUE,0.00,0.00,
47244,LIB,16,LIGHT BLUE,0.00,0.00,
47244,LIB,D0,LIGHT BLUE,0.00,0.00,
47244,LYW,0,LIGHT YELLOW,0.00,0.00,
47244,LYW,10,LIGHT YELLOW,0.00,0.00,
