"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"27502     ","NAVY                                              ","FY         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.90     ","194.00         ","F21   ","F21        "
"27610     ","MIDNIGHT                                          ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.85     ","174.00         ","F22   ","F23        "
"27610     ","STERLING                                          ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","2         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.85     ","174.00         ","F22   ","F23        "
"27615     ","ALMONDINE                                         ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.78     ","214.00         ","F22   ","F22        "
"27669     ","BLACK                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","84.50     ","169.00         ","F23   ","F23        "
"29580     ","SAND                                              ","FY         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","49.99     ","204.00         ","S13   ","S18        "
"29580     ","BLUE CORAL                                        ","FY         ","0         ","0         ","0         ","0         ","1         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","49.99     ","204.00         ","S13   ","S18        "
"30006     ","LILAC-PINK                                        ","AL         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","129.00    ","129.00         ","F25   ","F25        "
"30006     ","ROSE QUARTZ                                       ","AL         ","1         ","2         ","0         ","3         ","0         ","0         ","3         ","0         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","129.00    ","129.00         ","F25   ","F25        "
"30011     ","BLACK                                             ","AL         ","2         ","3         ","1         ","1         ","1         ","1         ","0         ","0         ","1         ","1         ","2         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","144.00    ","144.00         ","F25   ","F25        "
"30011     ","PINK                                              ","AL         ","2         ","0         ","0         ","1         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","144.00    ","144.00         ","F25   ","F25        "
"30024     ","DIAMOND WHITE                                     ","AL         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","134.00    ","134.00         ","F25   ","F25        "
"30024     ","BLACK-LATTE                                       ","AL         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","134.00    ","134.00         ","F25   ","F25        "
"30024     ","PINK-DIAMOND WHITE                                ","AL         ","0         ","1         ","1         ","2         ","2         ","1         ","2         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","134.00    ","134.00         ","F25   ","F25        "
"30030     ","DIAMOND WHITE                                     ","FF         ","1         ","2         ","1         ","2         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.00    ","149.00         ","F25   ","F25        "
"30030     ","BLACK-LATTE                                       ","FF         ","0         ","0         ","0         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.00    ","149.00         ","F25   ","F25        "
"30030     ","PINK-DIAMOND WHITE                                ","FF         ","1         ","0         ","1         ","2         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.00    ","149.00         ","F25   ","F25        "
"30079     ","BLACK                                             ","AL         ","0         ","0         ","4         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","159.00    ","159.00         ","F25   ","F25        "
"30079     ","RED                                               ","AL         ","0         ","2         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","159.00    ","159.00         ","F25   ","F25        "
"40014     ","BLACK SOLID                                       ","ST         ","0         ","1         ","0         ","1         ","0         ","1         ","3         ","3         ","1         ","3         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","129.00    ","129.00         ","F25   ","F25        "
"40014     ","ICE BLUE                                          ","ST         ","0         ","0         ","0         ","0         ","1         ","3         ","1         ","2         ","3         ","1         ","2         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","129.00    ","129.00         ","F25   ","F25        "
"40034     ","PINE                                              ","ST         ","1         ","4         ","2         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.00     ","99.00          ","F25   ","F25        "
"40041     ","ICE BLUE                                          ","ST         ","1         ","4         ","1         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","144.00    ","144.00         ","F25   ","F25        "
"40043     ","BLUSH                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","199.00    ","199.00         ","F25   ","F25        "
"40043     ","BLUE IRIS                                         ","ST         ","1         ","2         ","1         ","1         ","0         ","1         ","3         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","199.00    ","199.00         ","F25   ","F25        "
"40061     ","BLACK-MULTI                                       ","ST         ","1         ","0         ","1         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","169.00    ","169.00         ","F25   ","F25        "
"40061     ","IVORY-MULTI                                       ","ST         ","1         ","0         ","1         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","169.00    ","169.00         ","F25   ","F25        "
"40063     ","LIGHT PINK                                        ","AL         ","0         ","2         ","1         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","94.00     ","94.00          ","F25   ","F25        "
